state,cluster
Alabama,2
Alaska,4
Arizona,3
Arkansas,2
California,3
Colorado,3
Connecticut,3
Delaware,4
District of Columbia,1
Florida,4
Georgia,4
Hawaii,3
Idaho,0
Illinois,4
Indiana,3
Iowa,3
Kansas,3
Kentucky,3
Louisiana,2
Maine,0
Maryland,4
Massachusetts,0
Michigan,4
Minnesota,3
Mississippi,2
Missouri,4
Montana,3
Nebraska,3
Nevada,3
New Hampshire,0
New Jersey,0
New Mexico,4
New York,4
North Carolina,4
North Dakota,3
Ohio,4
Oklahoma,4
Oregon,3
Pennsylvania,4
Rhode Island,3
South Carolina,2
South Dakota,3
Tennessee,4
Texas,4
Utah,0
Vermont,0
Virginia,3
Washington,0
West Virginia,0
Wisconsin,3
Wyoming,3
